I,Qc,Qd,T,V,t,Battery_ID
0.07278095636363636,0.91095108,5.6407462e-08,31.391726,3.6002679,25.78199833333347,b2c11.pkl_cycle_456
0.06322513909090909,0.91105038,5.6407462e-08,31.320538,3.5997338,25.865409999999976,b2c11.pkl_cycle_456
0.06932778818181817,0.91115397,5.6407462e-08,31.353039,3.6000705,25.948530000000027,b2c11.pkl_cycle_456
0.06462790727272726,0.91125458,5.6407462e-08,31.353039,3.5999207,26.031911666666566,b2c11.pkl_cycle_456
0.06462790727272726,0.91125458,5.6407462e-08,31.366623,3.5999207,26.03191333333331,b2c11.pkl_cycle_456
0.06461837090909091,0.91135329,5.6407462e-08,31.366623,3.5999646,26.115300000000087,b2c11.pkl_cycle_456
0.06461837090909091,0.91135329,5.6407462e-08,31.327042,3.5999646,26.11530166666683,b2c11.pkl_cycle_456
0.06461663636363636,0.91145205,5.6407462e-08,31.273911,3.6000438,26.19863833333317,b2c11.pkl_cycle_456
0.06459496272727272,0.91155076,5.6407462e-08,31.265938,3.6001391,26.28196333333326,b2c11.pkl_cycle_456
0.059538754545454535,0.91164446,5.6407462e-08,31.300123,3.5999446,26.365181666666466,b2c11.pkl_cycle_456
0.05951707999999999,0.91173571,5.6407462e-08,31.27733,3.5998797,26.44873666666681,b2c11.pkl_cycle_456
0.05951968090909091,0.91182661,5.6407462e-08,31.255676,3.5999665,26.532008333333458,b2c11.pkl_cycle_456
0.06020025818181818,0.91192001,5.6407462e-08,31.255676,3.6001887,26.615263333333132,b2c11.pkl_cycle_456
0.06020025818181818,0.91192001,5.6407462e-08,31.25222,3.6001887,26.615264999999876,b2c11.pkl_cycle_456
0.053744749999999994,0.91200995,5.6407462e-08,31.25222,3.5998893,26.698569999999986,b2c11.pkl_cycle_456
0.053744749999999994,0.91200995,5.6407462e-08,31.245173,3.5998893,26.698571666666734,b2c11.pkl_cycle_456
0.056508670909090904,0.91209197,5.6407462e-08,31.245173,3.5999322,26.781876666666843,b2c11.pkl_cycle_456
0.056508670909090904,0.91209197,5.6407462e-08,31.269396,3.5999322,26.781878333333104,b2c11.pkl_cycle_456
0.05648266181818182,0.91217834,5.6407462e-08,31.228374,3.6000457,26.865181666666466,b2c11.pkl_cycle_456
0.05649653363636363,0.91226476,5.6407462e-08,31.188786,3.6002345,26.94866166666664,b2c11.pkl_cycle_456
0.05456057454545454,0.91234791,5.6407462e-08,31.201962,3.6001182,27.031994999999977,b2c11.pkl_cycle_456
0.05213304,0.91242772,5.6407462e-08,31.201962,3.6000724,27.115180000000205,b2c11.pkl_cycle_456
0.05213304,0.91242772,5.6407462e-08,31.248251,3.6000724,27.115181666666466,b2c11.pkl_cycle_456
0.047277103636363636,0.91250509,5.6407462e-08,31.213898,3.599894,27.198601666666704,b2c11.pkl_cycle_456
0.05197351636363636,0.91257852,5.6407462e-08,31.235424,3.5999875,27.281970000000243,b2c11.pkl_cycle_456
0.04869981272727272,0.91265535,5.6407462e-08,31.235424,3.6000257,27.365290000000094,b2c11.pkl_cycle_456
0.04869981272727272,0.91265535,5.6407462e-08,31.191864,3.6000257,27.36529166666684,b2c11.pkl_cycle_456
0.050728538181818175,0.91273272,5.6407462e-08,31.191864,3.6001639,27.448569999999986,b2c11.pkl_cycle_456
0.050728538181818175,0.91273272,5.6407462e-08,31.187515,3.6001639,27.448571666666734,b2c11.pkl_cycle_456
0.04807905727272727,0.91280723,5.6407462e-08,31.187515,3.6001744,27.531885000000088,b2c11.pkl_cycle_456
0.04807905727272727,0.91280723,5.6407462e-08,31.139059,3.6001744,27.531886666666832,b2c11.pkl_cycle_456
0.043372240909090906,0.91287822,5.6407462e-08,31.160582,3.5999541,27.615356666666532,b2c11.pkl_cycle_456
0.04770278909090909,0.91294456,5.6407462e-08,31.160582,3.6000247,27.698635000000163,b2c11.pkl_cycle_456
0.04770278909090909,0.91294456,5.6407462e-08,31.213007,3.6000247,27.69863666666691,b2c11.pkl_cycle_456
0.04115538181818181,0.91301465,5.6407462e-08,31.178654,3.599895,27.78195333333327,b2c11.pkl_cycle_456
0.04605553363636363,0.91308284,5.6407462e-08,31.178654,3.6000991,27.865290000000094,b2c11.pkl_cycle_456
0.04605553363636363,0.91308284,5.6407462e-08,31.16548,3.6000991,27.86529166666684,b2c11.pkl_cycle_456
0.04012021181818182,0.91315168,5.6407462e-08,31.140326,3.5999799,27.94873333333332,b2c11.pkl_cycle_456
0.04828366363636363,0.91321385,5.6407462e-08,31.084446,3.600203,28.03188833333358,b2c11.pkl_cycle_456
0.04251133272727273,0.91328251,5.6407462e-08,31.108299,3.6001134,28.115393333333486,b2c11.pkl_cycle_456
0.03846775363636363,0.91334152,5.6407462e-08,31.091869,3.5998979,28.19851333333354,b2c11.pkl_cycle_456
0.038478158181818184,0.91340029,5.6407462e-08,31.05987,3.5998635,28.28199666666672,b2c11.pkl_cycle_456
0.04337657545454545,0.91346604,5.6407462e-08,31.091492,3.6002679,28.365206666666683,b2c11.pkl_cycle_456
0.04031961636363636,0.91352767,5.6407462e-08,31.091492,3.6002593,28.448544999999772,b2c11.pkl_cycle_456
0.04031961636363636,0.91352767,5.6407462e-08,31.078314,3.6002593,28.448546666666516,b2c11.pkl_cycle_456
0.03276824909090909,0.91358429,5.6407462e-08,31.128416,3.5998178,28.531878333333104,b2c11.pkl_cycle_456
0.042565952727272725,0.91363847,5.6407462e-08,31.114319,3.6001735,28.615216666666676,b2c11.pkl_cycle_456
0.03765453,0.91369724,5.6407462e-08,31.114319,3.6000466,28.698631666666675,b2c11.pkl_cycle_456
0.03765453,0.91369724,5.6407462e-08,31.104734,3.6000466,28.69863333333342,b2c11.pkl_cycle_456
0.037659731818181816,0.91375476,5.6407462e-08,31.09984,3.6001477,28.781885000000088,b2c11.pkl_cycle_456
0.032560175454545454,0.91380823,5.6407462e-08,31.086111,3.5999522,28.86535166666678,b2c11.pkl_cycle_456
0.038475556363636365,0.91386032,5.6407462e-08,31.086111,3.6001983,28.948685000000115,b2c11.pkl_cycle_456
0.038475556363636365,0.91386032,5.6407462e-08,31.024059,3.6001983,28.94868666666686,b2c11.pkl_cycle_456
0.03358927636363636,0.91391563,5.6407462e-08,31.024059,3.6000819,29.03192833333354,b2c11.pkl_cycle_456
0.03358927636363636,0.91391563,5.6407462e-08,31.071638,3.6000819,29.0319299999998,b2c11.pkl_cycle_456
0.03360401545454545,0.91396695,5.6407462e-08,31.071638,3.6001525,29.115181666666466,b2c11.pkl_cycle_456
0.03360401545454545,0.91396695,5.6407462e-08,31.11829,3.6001525,29.115183333333214,b2c11.pkl_cycle_456
0.03360314818181818,0.91401839,5.6407462e-08,31.056618,3.600142,29.198689999999868,b2c11.pkl_cycle_456
0.032978058181818176,0.91406775,5.6407462e-08,31.056618,3.600121,29.28195833333351,b2c11.pkl_cycle_456
0.032978058181818176,0.91406775,5.6407462e-08,31.079956,3.600121,29.281959999999767,b2c11.pkl_cycle_456
0.03299626454545454,0.91411811,5.6407462e-08,31.079956,3.6002755,29.365181666666466,b2c11.pkl_cycle_456
0.03299626454545454,0.91411811,5.6407462e-08,31.067665,3.6002755,29.365183333333214,b2c11.pkl_cycle_456
0.027878500909090907,0.9141621,5.6407462e-08,31.061504,3.5998864,29.44866333333339,b2c11.pkl_cycle_456
0.02950061454545454,0.91420871,5.6407462e-08,31.061504,3.5998521,29.531858333333123,b2c11.pkl_cycle_456
0.02950061454545454,0.91420871,5.6407462e-08,31.029333,3.5998521,29.53185999999987,b2c11.pkl_cycle_456
0.028878125454545454,0.9142524,5.6407462e-08,31.056618,3.5998902,29.615340000000046,b2c11.pkl_cycle_456
0.03192121363636364,0.9142983,5.6407462e-08,31.056618,3.6001515,29.69860999999995,b2c11.pkl_cycle_456
0.03192121363636364,0.9142983,5.6407462e-08,31.097136,3.6001515,29.698611666666693,b2c11.pkl_cycle_456
0.029141686363636364,0.9143464,5.6407462e-08,31.092789,3.6000943,29.781846666666873,b2c11.pkl_cycle_456
0.029141686363636364,0.91439104,5.6407462e-08,31.092789,3.6001105,29.865330000000053,b2c11.pkl_cycle_456
0.029141686363636364,0.91439104,5.6407462e-08,31.052671,3.6001105,29.8653316666668,b2c11.pkl_cycle_456
0.02910787363636363,0.91443551,5.6407462e-08,31.053564,3.6001496,29.948635000000163,b2c11.pkl_cycle_456
0.02910180545454545,0.91447997,5.6407462e-08,31.06496,3.6002059,30.031970000000243,b2c11.pkl_cycle_456
